framework,question_idx,em,total_tokens
majority_voting,1061,1,18194
majority_voting,5602,0,18721
majority_voting,398,1,19528
majority_voting,4241,1,12267
majority_voting,2859,1,24595
majority_voting,4615,0,18948
majority_voting,4327,0,21980
majority_voting,6863,1,25696
majority_voting,4616,1,28016
majority_voting,6755,1,37725
majority_voting,194,0,19327
majority_voting,4686,0,21208
majority_voting,5492,0,50417
majority_voting,3596,1,18555
majority_voting,6127,1,48306
majority_voting,1019,1,17598
majority_voting,991,0,24366
majority_voting,1399,0,30451
majority_voting,1882,0,50178
majority_voting,4057,1,44786
majority_voting,928,0,38899
majority_voting,1883,1,35732
majority_voting,2389,0,24929
majority_voting,4006,1,41008
majority_voting,1001,0,32791
majority_voting,1013,0,19423
majority_voting,6613,1,21386
majority_voting,163,0,27457
majority_voting,1578,1,18464
majority_voting,6995,0,49229
majority_voting,5883,0,46819
majority_voting,6239,1,21478
majority_voting,3826,0,18797
majority_voting,2274,0,28141
majority_voting,1169,1,20796
majority_voting,6119,1,18324
majority_voting,1268,0,18528
majority_voting,3212,1,18233
majority_voting,615,0,12182
majority_voting,5758,0,29944
majority_voting,4086,1,42662
majority_voting,5561,1,46785
majority_voting,6888,0,21764
majority_voting,3704,0,18986
majority_voting,6659,1,18960
majority_voting,3303,0,50707
majority_voting,1258,1,21336
majority_voting,244,0,21890
majority_voting,1109,1,31045
majority_voting,242,0,52112
majority_voting,7169,0,44983
majority_voting,6575,0,50493
majority_voting,1745,1,18152
majority_voting,4223,0,30012
majority_voting,4197,1,37597
majority_voting,2767,1,16423
majority_voting,3531,0,21822
majority_voting,3486,0,13895
majority_voting,4967,1,19374
majority_voting,5935,0,51209
majority_voting,1462,0,19286
majority_voting,4125,1,20247
majority_voting,2743,0,50295
majority_voting,2196,0,48361
majority_voting,6560,1,14032
majority_voting,344,1,12122
majority_voting,5430,0,34678
majority_voting,5359,0,47120
majority_voting,1818,0,48108
majority_voting,3215,0,48525
majority_voting,7137,1,23952
majority_voting,3977,0,28059
majority_voting,24,0,28848
majority_voting,7285,1,21363
majority_voting,6543,0,49032
majority_voting,6485,1,29308
majority_voting,110,1,25051
majority_voting,3569,1,37169
majority_voting,3916,0,30530
majority_voting,4873,1,41386
majority_voting,3729,1,29368
majority_voting,6325,1,18047
majority_voting,855,1,12183
majority_voting,1244,1,18418
majority_voting,6175,0,33159
majority_voting,5147,0,23581
majority_voting,3817,0,26359
majority_voting,1306,1,24341
majority_voting,6053,0,16035
majority_voting,2680,0,35796
majority_voting,1667,0,29477
majority_voting,1642,1,25803
majority_voting,4741,1,17394
majority_voting,2489,0,48053
majority_voting,935,0,47103
majority_voting,4928,0,29669
majority_voting,6284,1,40271
majority_voting,5391,0,52126
majority_voting,4569,0,12502
majority_voting,772,1,22215
majority_voting,4343,1,19110
majority_voting,3883,0,18419
majority_voting,5001,0,30455
majority_voting,5099,0,14884
majority_voting,6481,0,17234
majority_voting,1378,0,36911
majority_voting,5890,0,42798
majority_voting,6991,1,40980
majority_voting,1027,1,52108
majority_voting,2371,0,13927
majority_voting,869,0,18638
majority_voting,1311,1,18605
majority_voting,3424,1,20982
majority_voting,1940,1,25926
majority_voting,3427,1,18303
majority_voting,423,0,48744
majority_voting,4706,0,25172
majority_voting,2910,1,18808
majority_voting,1364,1,22761
majority_voting,3576,0,37025
majority_voting,1031,0,18216
majority_voting,1049,0,34146
majority_voting,5621,0,18344
majority_voting,174,0,34832
majority_voting,3533,1,39488
majority_voting,5650,1,11987
majority_voting,1962,0,24520
majority_voting,1647,0,20692
majority_voting,1375,1,17970
majority_voting,4544,0,11848
majority_voting,2734,0,12829
majority_voting,2536,0,52542
majority_voting,5270,1,19013
majority_voting,7368,0,30657
majority_voting,7207,0,34208
majority_voting,6219,1,26458
majority_voting,3770,0,47310
majority_voting,6365,0,29049
majority_voting,1479,1,18279
majority_voting,2668,0,31909
majority_voting,3774,0,19867
majority_voting,4852,1,18248
majority_voting,6081,1,59723
majority_voting,7383,1,19324
majority_voting,4466,1,38515
majority_voting,1007,0,57195
majority_voting,2226,1,18432
majority_voting,5293,0,18101
majority_voting,137,0,35954
majority_voting,4715,0,12221
majority_voting,2728,1,18739
majority_voting,6949,1,13819
majority_voting,5000,0,30777
majority_voting,1355,0,25605
majority_voting,6606,0,47294
majority_voting,306,0,18304
majority_voting,2121,1,12360
majority_voting,6773,1,18692
majority_voting,6816,1,34589
majority_voting,5570,0,43921
majority_voting,3156,0,16791
majority_voting,4209,0,25272
majority_voting,7359,0,34467
majority_voting,219,0,32858
majority_voting,2606,0,24940
majority_voting,2807,0,21265
majority_voting,4913,0,51075
majority_voting,6052,0,18453
majority_voting,7008,1,24970
majority_voting,1472,0,19581
majority_voting,6130,0,48471
majority_voting,4756,1,19188
majority_voting,3103,1,19472
majority_voting,3426,1,18608
majority_voting,5882,1,17749
majority_voting,2446,0,48570
majority_voting,450,1,23493
majority_voting,1455,0,51236
majority_voting,5979,0,29123
majority_voting,6713,0,12292
majority_voting,1610,0,46909
majority_voting,1952,0,47747
majority_voting,6115,0,30664
majority_voting,4644,0,20355
majority_voting,5066,0,43942
majority_voting,6622,0,21223
majority_voting,7107,0,23134
majority_voting,5156,0,34442
majority_voting,2810,0,49413
majority_voting,6004,0,33813
majority_voting,6008,0,55714
majority_voting,6685,0,31638
majority_voting,6291,1,28437
majority_voting,1165,1,18484
majority_voting,7261,0,47711
majority_voting,3114,1,29997
majority_voting,2862,0,50913
majority_voting,1266,1,18300
majority_voting,1105,1,17951
majority_voting,7150,0,50413
majority_voting,2075,0,44588
majority_voting,5993,1,37479
majority_voting,4387,1,18782
majority_voting,1875,1,18559
majority_voting,4403,1,18932
majority_voting,1385,0,27081
majority_voting,5342,1,46928
majority_voting,4301,0,18398
majority_voting,778,0,41519
majority_voting,5922,0,22401
majority_voting,7216,0,18392
majority_voting,2869,1,18664
majority_voting,5261,1,23219
majority_voting,927,0,17152
majority_voting,4071,0,50205
majority_voting,516,0,31041
majority_voting,7212,0,12607
majority_voting,3915,1,18328
majority_voting,4248,0,12124
majority_voting,1162,1,18378
majority_voting,1544,1,49072
majority_voting,5113,1,48034
majority_voting,973,1,18943
majority_voting,1991,1,18198
majority_voting,2517,1,44274
majority_voting,15,0,18801
majority_voting,1547,0,25648
majority_voting,3699,0,30133
majority_voting,6421,0,15923
majority_voting,4212,1,46641
majority_voting,1164,0,26243
majority_voting,6836,1,19100
majority_voting,5853,0,38418
majority_voting,1523,1,25143
majority_voting,6665,0,41672
majority_voting,2955,0,18798
majority_voting,1783,0,32057
majority_voting,913,0,27219
majority_voting,1396,1,21308
majority_voting,1283,0,26687
majority_voting,693,0,20518
majority_voting,5696,0,18219
majority_voting,5930,0,35178
majority_voting,2566,0,26884
majority_voting,1998,0,24763
majority_voting,6479,1,25609
majority_voting,189,1,18893
majority_voting,5134,0,47184
majority_voting,2802,0,37201
majority_voting,4040,1,18459
majority_voting,930,1,39572
majority_voting,5225,1,30957
majority_voting,6350,1,36314
majority_voting,5732,1,24171
majority_voting,925,0,45660
majority_voting,1436,0,32214
majority_voting,5889,0,18862
majority_voting,5129,1,47409
majority_voting,1182,1,25620
majority_voting,2704,0,41406
majority_voting,1144,1,41839
majority_voting,2538,0,49501
majority_voting,2905,1,18884
majority_voting,6756,0,17855
majority_voting,1793,1,18951
majority_voting,545,0,47145
majority_voting,743,1,43329
